dapil,partai,nama,pasangan
aceh-besar,PARTAI AMANAT NASIONAL,"MUCHLIS ZULKIFLI, ST",ERNAWATI
aceh-besar,PARTAI AMANAT NASIONAL,TEZAR AZWAR,"MUHAMMADATI, SH"
aceh-besar,PARTAI AMANAT NASIONAL,"HJ. ISMANIAR, SE","HASRULSYAH, SE"
aceh-besar,PARTAI AMANAT NASIONAL,H. ZULKIFLI ABDY,Hj. EVA KURNIAWATY
aceh-besar,PARTAI AMANAT NASIONAL,H. ZULKIFLI H. ADAM,Hj. MULYANASARI
aceh-besar,PARTAI AMANAT NASIONAL,"DEWI MARLINA, A.Ma",ZAHARI
aceh-besar,PARTAI AMANAT NASIONAL,"DEDI SUMARDI NURDIN, SKM",NANDA ERLIZA
aceh-besar,PARTAI AMANAT NASIONAL,"NAZARUDDIN IBRAHIM, SE",CUT AUZULISNA
aceh-besar,PARTAI AMANAT NASIONAL,"NINING SAGITA NOVA, S.Pd",HENDRA
aceh-besar,PARTAI AMANAT NASIONAL,"IRA HUSNA, A.Md. Keb",LOVI MASLIADI
aceh-besar,PARTAI AMANAT NASIONAL,ZULFITRI,DEWIANASARI
aceh-besar,PARTAI BERKARYA,TEUKU SAHRIAL,sari indah puspita
aceh-besar,PARTAI BERKARYA,ASBAWI,"ASMALINA, SE"
aceh-besar,PARTAI BERKARYA,DRH. FIRDAUS,"CUT DARMAWAN, S.Pd"
aceh-besar,PARTAI BERKARYA,MARZUKI,"MILDA YENNI, S.Pd"
aceh-besar,PARTAI BULAN BINTANG,"MARWAN, SP",DRA. SITTI AINSYAH
aceh-besar,PARTAI BULAN BINTANG,M. JAMAL YUNUS,nnnnn
aceh-besar,PARTAI BULAN BINTANG,AGUSTINA,KARDI SUGIARTO (ALM)
aceh-besar,PARTAI BULAN BINTANG,"Tgk.. MUHAMMAD YUSUF, S.Ag.,M.Pd",nyak
aceh-besar,PARTAI BULAN BINTANG,"HUSNI IBRAHIM, SH.,MH",NANI
aceh-besar,PARTAI BULAN BINTANG,"RITA SEPTIANA, A.Md",sapriadi
aceh-besar,PARTAI BULAN BINTANG,TGK. NURDIN JOHAN,NUR AINI
aceh-besar,PARTAI BULAN BINTANG,BAIHAQI ABDULLAH,ZAIDATULIFFA
aceh-besar,PARTAI BULAN BINTANG,"ENDANG WAHYUNI, S.Pd.I",Syafruddin (Alm)
aceh-besar,PARTAI BULAN BINTANG,"RUSLI, S.Sos.I",CUT MASHWIATI
aceh-besar,PARTAI DAERAH ACEH,"H. AZHAR, MJ ROMENT",WAHYUNI
aceh-besar,PARTAI DAERAH ACEH,BUKHARI,RAHMATUN ULYA
aceh-besar,PARTAI DAERAH ACEH,SOFYAN SURI,SURIYANI
aceh-besar,PARTAI DAERAH ACEH,FAUZIANNUR,FWI FINIS KURNIAWATI
aceh-besar,PARTAI DAERAH ACEH,DRS. ZAKIUN FUADI,YUSNA
aceh-besar,PARTAI DAERAH ACEH,"ARIANA BETI ARTI, S.H.I",SAIFUL ANWAR
aceh-besar,PARTAI DAERAH ACEH,SYARBINI,HERAWATI
aceh-besar,PARTAI DEMOKRAT,"T. IBRAHIM, ST. MM.","HJ. RIDA ARIANI, A.MK"
aceh-besar,PARTAI DEMOKRAT,"MUZAKIR ABDULLAH, SE.",KAMALIA HASAN
aceh-besar,PARTAI DEMOKRAT,"HJ. NURHANIFAH, S.Pd.",MIRZA MAHMUD
aceh-besar,PARTAI DEMOKRAT,"YUDI KURNIA, SE.",DIANA PURMASURI
aceh-besar,PARTAI DEMOKRAT,"ARIF FADILLAH, s.I.KOM. MM.","SUPIYATI, SP"
aceh-besar,PARTAI DEMOKRAT,"Ir.. YUSMAIZAL, M.Si.","SITI AISYAH, SE."
aceh-besar,PARTAI DEMOKRAT,Drs.. SAFWAN YUSUF,"ROSMAWAR, SE."
aceh-besar,PARTAI DEMOKRAT,"ABD. MUTHALIB, S.Sos.","NURMALA, ST."
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,Drs. H. ABDURRAHMAN AHMAD,"CUT DIANA ZAIRIANI, SE"
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,Dra. Hj. MASLAILA,"DR. BUKHARI DAUD, M.Ed"
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,"EDWAR M. NUR, SE, MM","dr. FITRIA, M.Sc, Sp.KK"
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,ZULKASMI,NURLAILA
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,H. AMIRUDDIN USMAN DAROY,Hj. WIRDA
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,REKI SAFARI,PUTRI SHANTY
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,ROSMAINI,SUHARDIN
